episode,epsilon,total_reward,avg_reward,total_shaped_reward,avg_shaped_reward,avg_loss
122,0.9408088875467696,1.0,0.5,-9.390614728488561,-4.695307364244281,0.010608089978673628
123,0.9403384831029963,0.0,0.0,-12.828833272639844,-6.414416636319922,0.01061696142357375
124,0.9398683138614449,0.0,0.0,-9.133786796564396,-4.566893398282198,0.010982704653537699
125,0.9393983797045142,0.0,0.0,-8.32214354683096,-4.16107177341548,0.011340186718319144
126,0.938928680514662,1.0,0.5,-9.98467752448877,-4.992338762244385,0.010142266526818275
127,0.9384592161744048,2.0,1.0,-6.363477700035604,-3.181738850017802,0.010901811373020922
128,0.9379899865663176,0.0,0.0,-13.493543660676714,-6.746771830338357,0.01098626780190638
129,0.9375209915730345,2.0,1.0,-9.893398360412094,-4.946699180206047,0.01039583937597594
130,0.937052231077248,1.0,0.5,-11.485726176639002,-5.742863088319501,0.011292763909191957
131,0.9365837049617094,1.0,0.5,-12.07276414735788,-6.03638207367894,0.015338692738275444
132,0.9361154131092286,1.0,0.5,-11.702843720526289,-5.8514218602631445,0.013151430053902523
133,0.9356473554026741,0.0,0.0,-12.648821546105522,-6.324410773052761,0.011826079680717418
134,0.9351795317249728,0.0,0.0,-12.708332633315909,-6.354166316657954,0.01301779555289873
135,0.9347119419591103,1.0,0.5,-10.682975408263568,-5.341487704131784,0.011236684963639294
136,0.9342445859881309,1.0,0.5,-12.450258400863166,-6.225129200431583,0.011884146222312536
137,0.9337774636951368,0.0,0.0,-12.174355048977553,-6.0871775244887765,0.011339961726085417
138,0.9333105749632893,1.0,0.5,-9.802620069204236,-4.901310034602118,0.010831581027513104
139,0.9328439196758077,1.0,0.5,-10.238687972375232,-5.119343986187616,0.011812134601974061
140,0.9323774977159699,2.0,1.0,-8.604625176375013,-4.302312588187506,0.011503958014239158
141,0.9319113089671119,2.0,1.0,-7.7879094476224715,-3.8939547238112358,0.014842395199728863
142,0.9314453533126285,0.0,0.0,-13.363766323432674,-6.681883161716337,0.012221855108759233
143,0.9309796306359722,2.0,1.0,-6.845245776901901,-3.4226228884509506,0.011667538044442023
144,0.9305141408206543,1.0,0.5,-11.355963206943482,-5.677981603471741,0.012227246139996819
145,0.9300488837502441,1.0,0.5,-9.129724000564199,-4.564862000282099,0.01223714810929128
146,0.9295838593083691,0.0,0.0,-9.413655108827117,-4.706827554413558,0.011655628574745995
147,0.929119067378715,0.0,0.0,-10.962652932752334,-5.481326466376167,0.012019214715276446
148,0.9286545078450257,0.0,0.0,-14.008431457505097,-7.004215728752548,0.011087051546866341
149,0.9281901805911033,1.0,0.5,-10.37467752448877,-5.187338762244385,0.011675220825044172
150,0.9277260855008077,0.0,0.0,-11.74351079712861,-5.871755398564305,0.012224066532882197
