episode,epsilon,total_reward,avg_reward,avg_loss
1,0.9995,0.0,0.0,0.00012687279449385196
2,0.9990002500000001,0.0,0.0,3.743032741112984e-05
3,0.9985007498750001,0.0,0.0,0.0004934525555082863
4,0.9980014995000627,0.0,0.0,3.5190722823504725e-05
5,0.9975024987503127,0.0,0.0,0.0001313977477080438
6,0.9970037475009376,2.0,1.0,0.0002275168339474476
7,0.9965052456271871,2.0,1.0,0.00010947639463016198
8,0.9960069930043736,0.0,0.0,5.276690957024194e-05
9,0.9955089895078715,0.0,0.0,4.088590957118348e-05
10,0.9950112350131176,0.0,0.0,0.00013538066400152664
11,0.9945137293956111,0.0,0.0,0.0013521646508888807
12,0.9940164725309134,2.0,1.0,0.0004980865094694309
13,0.993519464294648,0.0,0.0,0.00043681492438606384
14,0.9930227045625007,2.0,1.0,0.00026963628982360074
15,0.9925261932102195,0.0,0.0,0.0005976142762873288
16,0.9920299301136144,0.0,0.0,0.00036896629609275674
17,0.9915339151485576,0.0,0.0,0.0003837619986838295
18,0.9910381481909833,0.0,0.0,0.00044407371279833437
19,0.990542629116888,2.0,1.0,0.00029402579722435414
20,0.9900473578023296,2.0,1.0,0.00039055990711079047
21,0.9895523341234285,0.0,0.0,0.001670116114089199
22,0.9890575579563669,0.0,0.0,0.0008555522462951817
23,0.9885630291773887,0.0,0.0,0.0006394133823258536
24,0.9880687476628001,0.0,0.0,0.0005395018150323137
25,0.9875747132889687,0.0,0.0,0.0004848093551533696
26,0.9870809259323243,0.0,0.0,0.00046165664081594774
27,0.9865873854693582,0.0,0.0,0.0004964567864330353
28,0.9860940917766235,0.0,0.0,0.00044969993959447104
29,0.9856010447307353,0.0,0.0,0.0004582382357953715
30,0.98510824420837,0.0,0.0,0.0004910840855986212
31,0.9846156900862658,0.0,0.0,0.0019514954944939485
32,0.9841233822412228,0.0,0.0,0.001064754027465824
33,0.9836313205501022,0.0,0.0,0.0009112982702624452
34,0.9831395048898272,0.0,0.0,0.0008354242253283571
35,0.9826479351373822,0.0,0.0,0.0008748048745370137
36,0.9821566111698136,0.0,0.0,0.0007323945182724856
37,0.9816655328642288,0.0,0.0,0.0007778555333581088
38,0.9811747000977967,2.0,1.0,0.0008255453438115573
39,0.9806841127477479,2.0,1.0,0.0008739516787837991
40,0.9801937706913741,0.0,0.0,0.0007484413475945725
