episode,epsilon,total_reward,avg_reward,avg_loss
1,0.9995,0.0,0.0,0.00010199853092754522
2,0.9990002500000001,0.0,0.0,3.024280808339037e-05
3,0.9985007498750001,0.0,0.0,1.850107459566581e-05
4,0.9980014995000627,0.0,0.0,1.6719883367061683e-05
5,0.9975024987503127,1.0,0.5,0.00011642409179330571
6,0.9970037475009376,0.0,0.0,0.0004305630452654441
7,0.9965052456271871,1.0,0.5,0.0005634183478105115
8,0.9960069930043736,0.0,0.0,0.0004528360725557182
9,0.9955089895078715,0.0,0.0,0.00022355104368346345
10,0.9950112350131176,1.0,0.5,0.00017337366021820345
11,0.9945137293956111,0.0,0.0,0.0018820930323896132
12,0.9940164725309134,0.0,0.0,0.0010635161272615993
13,0.993519464294648,0.0,0.0,0.0005021509710682689
14,0.9930227045625007,1.0,0.5,0.00019149450115427108
15,0.9925261932102195,0.0,0.0,0.00019515976566513669
16,0.9920299301136144,0.0,0.0,0.00014003025259756084
17,0.9915339151485576,0.0,0.0,6.750093695050704e-05
18,0.9910381481909833,0.0,0.0,6.93303115258459e-05
19,0.990542629116888,0.0,0.0,0.00021777817302790937
20,0.9900473578023296,0.0,0.0,0.00017708374480467423
21,0.9895523341234285,1.0,0.5,0.001747603486146545
22,0.9890575579563669,0.0,0.0,0.000823587457083964
23,0.9885630291773887,0.0,0.0,0.0005898183394518647
24,0.9880687476628001,0.0,0.0,0.0004985499638860347
25,0.9875747132889687,0.0,0.0,0.0003657929590657919
26,0.9870809259323243,0.0,0.0,0.00039244770817666513
27,0.9865873854693582,2.0,1.0,0.0004684828538094215
28,0.9860940917766235,0.0,0.0,0.00040409787828788726
29,0.9856010447307353,1.0,0.5,0.00034585107351761376
30,0.98510824420837,0.0,0.0,0.000440165099571459
31,0.9846156900862658,0.0,0.0,0.0018341081657854376
32,0.9841233822412228,1.0,0.5,0.0012711749002586917
33,0.9836313205501022,0.0,0.0,0.0010449452718291597
34,0.9831395048898272,0.0,0.0,0.0008137839239498135
35,0.9826479351373822,1.0,0.5,0.0007211347897308379
36,0.9821566111698136,1.0,0.5,0.0005238100204795566
37,0.9816655328642288,1.0,0.5,0.0004954109502952114
38,0.9811747000977967,0.0,0.0,0.0004292476713765479
39,0.9806841127477479,0.0,0.0,0.00037184039272168386
40,0.9801937706913741,0.0,0.0,0.00044561487582021593
41,0.9797036738060285,1.0,0.5,0.001546125156580404
42,0.9792138219691255,0.0,0.0,0.0009015264129266143
43,0.978724215058141,1.0,0.5,0.0008472220728747614
44,0.978234852950612,0.0,0.0,0.000813306982537532
45,0.9777457355241367,1.0,0.5,0.0008726533691723099
46,0.9772568626563747,0.0,0.0,0.0007051495247495561
47,0.9767682342250465,0.0,0.0,0.0005870321821462961
48,0.976279850107934,1.0,0.5,0.0006575804420780125
49,0.9757917101828801,0.0,0.0,0.0006885661111820289
50,0.9753038143277888,0.0,0.0,0.0005846945014906981
51,0.974816162420625,0.0,0.0,0.0018404387811564707
52,0.9743287543394147,1.0,0.5,0.0013111109572595783
53,0.973841589962245,1.0,0.5,0.001172888694813342
54,0.973354669167264,1.0,0.5,0.0010540709674907182
55,0.9728679918326804,0.0,0.0,0.000895048068237624
56,0.972381557836764,1.0,0.5,0.000926662029149676
57,0.9718953670578457,1.0,0.5,0.0010207862921275332
58,0.9714094193743169,1.0,0.5,0.0009449056163845983
59,0.9709237146646298,0.0,0.0,0.0008768728224510726
60,0.9704382528072976,0.0,0.0,0.0008073325215705804
61,0.9699530336808939,0.0,0.0,0.002708527950120957
62,0.9694680571640535,0.0,0.0,0.001770449974490995
63,0.9689833231354715,1.0,0.5,0.0016968198474829217
64,0.9684988314739038,0.0,0.0,0.001414442571528655
65,0.9680145820581669,2.0,1.0,0.0014534651867247053
66,0.9675305747671379,0.0,0.0,0.0013506291419201131
67,0.9670468094797544,0.0,0.0,0.0012591903793924887
68,0.9665632860750146,0.0,0.0,0.0012816245688424845
69,0.9660800044319772,1.0,0.5,0.001204647776321508
70,0.9655969644297613,1.0,0.5,0.0010890284410145666
71,0.9651141659475465,2.0,1.0,0.0029447235734135443
72,0.9646316088645728,0.0,0.0,0.0021421388942482215
73,0.9641492930601405,0.0,0.0,0.0018482999220889593
74,0.9636672184136105,1.0,0.5,0.0017786036310384848
75,0.9631853848044037,0.0,0.0,0.0017027696318525289
76,0.9627037921120016,0.0,0.0,0.0015339842004634973
77,0.9622224402159457,2.0,1.0,0.0014876379046056952
78,0.9617413289958378,0.0,0.0,0.0015011573601181486
79,0.9612604583313399,0.0,0.0,0.0014137474252077353
80,0.9607798281021742,1.0,0.5,0.0014236327514351745
81,0.9602994381881231,0.0,0.0,0.0031365526993093746
82,0.9598192884690291,0.0,0.0,0.0025900286685542335
83,0.9593393788247946,0.0,0.0,0.0024898465772691582
84,0.9588597091353822,1.0,0.5,0.002297729120556531
85,0.9583802792808146,0.0,0.0,0.0021118477958953006
86,0.9579010891411742,0.0,0.0,0.001991459730114522
87,0.9574221385966036,1.0,0.5,0.0021074059989769013
88,0.9569434275273054,1.0,0.5,0.001974165732639709
89,0.9564649558135419,0.0,0.0,0.0019884826447482086
90,0.9559867233356352,0.0,0.0,0.0018595716530191047
91,0.9555087299739674,0.0,0.0,0.00432684285965349
92,0.9550309756089804,0.0,0.0,0.003830830573237368
93,0.954553460121176,1.0,0.5,0.003268845229675727
94,0.9540761833911156,0.0,0.0,0.0032171462705758
95,0.95359914529942,0.0,0.0,0.0032238536035375936
96,0.9531223457267703,0.0,0.0,0.0032003703490564865
97,0.952645784553907,1.0,0.5,0.002860234958685136
98,0.9521694616616301,1.0,0.5,0.003051392273046076
99,0.9516933769307994,1.0,0.5,0.0029474373353046497
100,0.951217530242334,1.0,0.5,0.0028778383213960168
101,0.9507419214772129,1.0,0.5,0.005644541724052812
102,0.9502665505164744,0.0,0.0,0.004644099438030805
103,0.9497914172412162,0.0,0.0,0.004453827780338803
104,0.9493165215325956,0.0,0.0,0.003815060941768544
105,0.9488418632718294,1.0,0.5,0.003625554615032992
106,0.9483674423401935,1.0,0.5,0.0032781657742868577
107,0.9478932586190235,1.0,0.5,0.0030543154295134757
108,0.9474193119897141,0.0,0.0,0.0029437571497900146
109,0.9469456023337193,0.0,0.0,0.002914932017447427
110,0.9464721295325524,0.0,0.0,0.0027148148680238853
111,0.9459988934677862,0.0,0.0,0.005434577480025057
112,0.9455258940210524,0.0,0.0,0.004210463492865009
113,0.9450531310740419,1.0,0.5,0.003727751469705254
114,0.9445806045085049,1.0,0.5,0.003455134984438441
115,0.9441083142062507,1.0,0.5,0.003313436472588884
116,0.9436362600491477,0.0,0.0,0.0029772318796520785
117,0.9431644419191232,0.0,0.0,0.0032256190425583296
118,0.9426928596981636,0.0,0.0,0.0028798631741665305
119,0.9422215132683146,0.0,0.0,0.0029399276927246577
120,0.9417504025116805,1.0,0.5,0.0029665587253735535
121,0.9412795273104247,0.0,0.0,0.004882160967681557
122,0.9408088875467696,0.0,0.0,0.003929728846331792
123,0.9403384831029963,2.0,1.0,0.0037761500630793827
124,0.9398683138614449,0.0,0.0,0.003491656047824238
125,0.9393983797045142,0.0,0.0,0.0037016381759063474
126,0.938928680514662,0.0,0.0,0.0035059773216822316
127,0.9384592161744048,1.0,0.5,0.0034838432469405235
128,0.9379899865663176,1.0,0.5,0.003383642612357757
129,0.9375209915730345,1.0,0.5,0.0032095655938610434
130,0.937052231077248,0.0,0.0,0.0031517594503904026
131,0.9365837049617094,1.0,0.5,0.004966832352469542
132,0.9361154131092286,0.0,0.0,0.004025964392016509
133,0.9356473554026741,0.0,0.0,0.0034766219193781062
134,0.9351795317249728,0.0,0.0,0.0033565226533184096
135,0.9347119419591103,0.0,0.0,0.0034733845646094
136,0.9342445859881309,0.0,0.0,0.0031456200522370636
137,0.9337774636951368,0.0,0.0,0.0030423286244539278
138,0.9333105749632893,0.0,0.0,0.0030860043413537953
