episode,epsilon,total_reward,avg_reward,avg_loss,steps
37,0.9816655328642288,0.0,0.0,0.0001381019574104617,[]
38,0.9811747000977967,1.0,0.5,0.000238256591066082,[]
39,0.9806841127477479,0.0,0.0,0.00019828614682670118,[]
40,0.9801937706913741,0.0,0.0,0.00014324416282241665,[]
41,0.9797036738060285,0.0,0.0,0.0001698873859978838,[]
42,0.9792138219691255,0.0,0.0,0.00011133440263230503,[]
43,0.978724215058141,0.0,0.0,8.774229026000414e-05,[]
44,0.978234852950612,0.0,0.0,9.701195499604052e-05,[]
45,0.9777457355241367,0.0,0.0,0.00011091027888401836,[]
46,0.9772568626563747,0.0,0.0,7.583030424029857e-05,[]
47,0.9767682342250465,0.0,0.0,6.308468461871339e-05,[]
48,0.976279850107934,0.0,0.0,6.310253435393471e-05,[]
49,0.9757917101828801,0.0,0.0,0.00025733903960956794,[]
50,0.9753038143277888,0.0,0.0,0.00023008115835442108,[]
51,0.974816162420625,0.0,0.0,0.00015133532987030257,[]
52,0.9743287543394147,0.0,0.0,0.00023929127083517545,[]
53,0.973841589962245,0.0,0.0,0.00023828075460187394,[]
54,0.973354669167264,0.0,0.0,0.0004989728451359302,[]
55,0.9728679918326804,1.0,0.5,0.0004852859385053827,[]
56,0.972381557836764,0.0,0.0,0.0006406523741212108,[]
57,0.9718953670578457,0.0,0.0,0.00048805631152000776,[]
58,0.9714094193743169,0.0,0.0,0.00034143448633715577,[]
59,0.9709237146646298,0.0,0.0,0.0003523489321170408,[]
60,0.9704382528072976,0.0,0.0,0.0002680915048767929,[]
61,0.9699530336808939,0.0,0.0,0.00031092287601495626,[]
62,0.9694680571640535,0.0,0.0,0.00022600537324511346,[]
63,0.9689833231354715,0.0,0.0,0.0002599497573308846,[]
64,0.9684988314739038,0.0,0.0,0.0002883921625782802,[]
65,0.9680145820581669,0.0,0.0,0.0007105102176553504,[]
66,0.9675305747671379,0.0,0.0,0.0007889347587895048,[]
67,0.9670468094797544,0.0,0.0,0.0005989218240470759,[]
68,0.9665632860750146,0.0,0.0,0.0005096574599571925,[]
69,0.9660800044319772,0.0,0.0,0.0006976769028031933,[]
70,0.9655969644297613,0.0,0.0,0.0007092133062126647,[]
71,0.9651141659475465,0.0,0.0,0.0006158145227735596,[]
72,0.9646316088645728,0.0,0.0,0.0006301883067603089,[]
73,0.9641492930601405,1.0,0.5,0.0006084548045847832,[]
74,0.9636672184136105,0.0,0.0,0.0005771308680414222,[]
75,0.9631853848044037,0.0,0.0,0.0005808852680742608,[]
76,0.9627037921120016,0.0,0.0,0.0006203800054208841,[]
77,0.9622224402159457,0.0,0.0,0.000576907065634649,[]
78,0.9617413289958378,0.0,0.0,0.00046741109815359646,[]
79,0.9612604583313399,0.0,0.0,0.0004049237876357178,[]
80,0.9607798281021742,0.0,0.0,0.00035205204890059706,[]
81,0.9602994381881231,0.0,0.0,0.0012835541822382116,[]
82,0.9598192884690291,1.0,0.5,0.0011799132723743762,[]
83,0.9593393788247946,0.0,0.0,0.0007938365403346584,[]
84,0.9588597091353822,0.0,0.0,0.0006230873102322221,[]
85,0.9583802792808146,0.0,0.0,0.0010788482533202373,[]
86,0.9579010891411742,0.0,0.0,0.0012216633875505067,[]
87,0.9574221385966036,1.0,0.5,0.0009122879670134613,[]
88,0.9569434275273054,0.0,0.0,0.0008467175944991011,[]
89,0.9564649558135419,0.0,0.0,0.0007593554756022058,[]
90,0.9559867233356352,0.0,0.0,0.0007540014745401485,[]
91,0.9555087299739674,0.0,0.0,0.0006626178174129954,[]
92,0.9550309756089804,1.0,0.5,0.0008181239854561031,[]
93,0.954553460121176,0.0,0.0,0.0008292386438863884,[]
94,0.9540761833911156,0.0,0.0,0.0007008618396607094,[]
95,0.95359914529942,0.0,0.0,0.000670898548975986,[]
96,0.9531223457267703,0.0,0.0,0.0005983052844281442,[]
97,0.952645784553907,0.0,0.0,0.0014945652132986912,[]
98,0.9521694616616301,0.0,0.0,0.001803835762298799,[]
99,0.9516933769307994,1.0,0.5,0.001509835347948995,[]
100,0.951217530242334,0.0,0.0,0.0013934541003046824,[]
101,0.9507419214772129,0.0,0.0,0.0017349193946990583,[]
102,0.9502665505164744,1.0,0.5,0.0018246180678917361,[]
103,0.9497914172412162,0.0,0.0,0.0013124696784819077,[]
104,0.9493165215325956,0.0,0.0,0.0012395608705368692,[]
105,0.9488418632718294,1.0,0.5,0.0011561969372477117,[]
106,0.9483674423401935,0.0,0.0,0.0011318693748242888,[]
107,0.9478932586190235,0.0,0.0,0.0010831588655543913,[]
108,0.9474193119897141,0.0,0.0,0.0011179232095933653,[]
109,0.9469456023337193,0.0,0.0,0.0011016299903193222,[]
110,0.9464721295325524,0.0,0.0,0.000916957601771823,[]
111,0.9459988934677862,0.0,0.0,0.0009876140920511845,[]
112,0.9455258940210524,0.0,0.0,0.000870987529093067,[]
113,0.9450531310740419,0.0,0.0,0.0014513036438230692,[]
114,0.9445806045085049,0.0,0.0,0.0014442237098202376,[]
115,0.9441083142062507,0.0,0.0,0.0011605241092287803,[]
116,0.9436362600491477,0.0,0.0,0.0011382389821145418,[]
117,0.9431644419191232,0.0,0.0,0.001410572308398384,[]
118,0.9426928596981636,0.0,0.0,0.001448462313939152,[]
